X,Y,OBJECTID,NAME,ID,LONG_DD,LAT_DD,LONG_DMS,LAT_DMS,SECTOR,STATE,COUNTY,PHYS_ADD,CITY,ZIP_CODE,CONTACT,CONTACT2,SITE_DESC,SITE_DESC2,SITE_DESC3,FACIL_TYPE,OIL_TYPES,PROB_RISK,MAX_RISK,MAX_RISK2,WORST_CASE,WORST_CASE2,GRP_MAP,Signature
-64.769722222226235,17.709999999998427,19,GeoNet,R-15,-64.769722,17.710000,"64° 46' 11.000"" W","17° 42' 36.000"" N",San Juan,US Virgin Islands,St. Croix, ,Southcentral, ,"Randy Nycz  Office: 340-778-1479, Cell: 340-626-4798, Fax: 340-778-1420", ,GeoNet is an ethanol dehydration plant and tenant facility of St. Croix Renaissance Park located on the southern shore of St. Croix on Krause Lagoon.,GeoNet is situated on the eastern portion of St. Croix Renaissance Park and consists of two ethanol storage tanks and one fuel oil storage tank., ,154 Facility,"Hydrous Ethanol, Anhydrous Ethanol, Fuel Oil","The average most probable discharge is 2,100 gallons (50 bbl).","The maximum most probable discharge is 48,880 gallons (1,164 bbl).", ,"The facility's worst case discharge is 488,800 gallons (11,638 bbl) of No. 6 Fuel Oil.", ,VI-2,
-64.745679513434382,17.705896084118063,20,Hovensa LLC,R-17,-64.745680,17.705896,"64° 44' 44.446"" W","17° 42' 21.226"" N",San Juan,US Virgin Islands,St. Croix, ,Southcentral, ,"Dave Herbert Office: 340-692-3469, Cell: 340-690-6288, Fax: 340-692-3844", ,"Hovensa is a 2,000 acre petroleum refinery located on the southern shore of St. Croix on Limetree Bay.  Hovensa's total on-shore terminal storage capacity is approximately 33,300,000 barrels.", , ,154 Facility,"Lube Oil, Sulfolane, Crude Oil, No. 6 Fuel Oil, No. 2 Fuel Oil, Gasoline, Jet-A Fuel, Raffinate Toluene, Benzene, Xylene","The average most probable discharge is 2,100 gallons (50 bbl).","The maximum most probable discharge is 50,400 gallons (1,200 bbl).", ,"The facility's worst case discharge is 25,200,000 gallons (600,000 bbl) of Crude Oil with a specific gravity of 0.97.", ,VI-2,
-64.715023221569581,17.750670260402018,21,Virgin Islands Water and Power Authority - Richmond Generating Facility,R-30,-64.715023,17.750670,"64° 42' 54.084"" W","17° 45' 2.413"" N",San Juan,US Virgin Islands,St. Croix, ,Sion Farm, ,"Kevin Smalls  Office: 340-773-2796, Cell: 340-690-2522, Fax: 340-773-0562", ,"VI WAPA Richmond Facility is a power generation plant located on the nothern shore of St. Croix on Christiansted Harbor.  WAPA consists of 5 fuel oil storage tanks with a total capacity of 117,793 barrels.", , ,154 Facility,"No. 2 Fuel Oil, No. 6 Fuel Oil","The average most probable discharge is 2,100 gallons (50 bbl).","The maximum most probable discharge is 50,400 gallons (1,200 bbl).", ,"The facility's worst case discharge is 2,268,000 gallons (54,000 bbl) of No. 6 Fuel Oil.", ,VI-2,
-66.132612995610614,18.41677453480343,22,Puma,R-05,-66.132613,18.416775,"66° 7' 57.407"" W","18° 25' 0.388"" N",San Juan,Puerto Rico,Bayamón,Rd 28 Km 2 Luchetti Ind Park,Bayamón,00961, , , , , , , , , , , , ,PR-11,
-81.134554100437427,32.059439018817862,23,Coastal Refining Corporation,216,-81.134554,32.059439,"81° 8' 4.395"" W","32° 3' 33.980"" N",Savannah,Georgia,Chatham,2830 Tremont Rd,Savannah,314051547,912-233-9999, ,Lubricating Oils and Greases,"REFINING LUBRICATING OILS & GREASES, NEC", ,Lubricating Oils and Greases,Lubracting Oils Greases, , , , , ,GA-3,
-81.082634889715081,32.043698651846945,24,Savannah, ,-81.082635,32.043699,"81° 4' 57.486"" W","32° 2' 37.315"" N",Savannah,Georgia,Chatham,1323 Washington Ave,Savannah,31404,Unocal Corp.,Unocal Corp., , , ,Storage/tank farm/terminal,Refined Products, , , , , ,GA-4,
-81.137242317009978,32.100674992117384,25,Savannah, ,-81.137242,32.100675,"81° 8' 14.072"" W","32° 6' 2.430"" N",Savannah,Georgia,Chatham,Foundation Dr,Savannah,31408,Panocean Southland,Panocean Southland, , , ,Storage/tank farm/terminal,Refined Products, , , , , ,GA-4,
-81.137242488588214,32.100909336189169,26,Savannah, ,-81.137242,32.100909,"81° 8' 14.073"" W","32° 6' 3.274"" N",Savannah,Georgia,Chatham,Foundation Dr,Savannah,31408,Vopak Terminal Savannah Inc.,Vopak Terminal Savannah Inc., , , ,Storage/tank farm/terminal,Refined Products, , , , , ,GA-4,
-81.137242488588214,32.100909336189169,27,Savannah, ,-81.137242,32.100909,"81° 8' 14.073"" W","32° 6' 3.274"" N",Savannah,Georgia,Chatham,Foundation Dr,Savannah,31408,Coastal Fuels Marketing Inc.,Coastal Fuels Marketing Inc., , , ,Storage/tank farm/terminal,Refined Products, , , , , ,GA-4,
-81.106524006356281,32.069311070176397,28,Savannah, ,-81.106524,32.069311,"81° 6' 23.486"" W","32° 4' 9.520"" N",Savannah,Georgia,Chatham,W. Gwinnet St,Savannah,31415,Citgo Asphalt and Refining Co.,Citgo Asphalt and Refining Co., , , ,Refinery,"Crude, Refined Products", , , , , ,GA-4,
-81.137242317009978,32.100674992117384,29,Savannah, ,-81.137242,32.100675,"81° 8' 14.072"" W","32° 6' 2.430"" N",Savannah,Georgia,Chatham,Foundation Dr,Savannah,31408,ST Services,ST Services, , , ,Storage/tank farm/terminal,"Refined Products, Miscellaneous", , , , , ,GA-4,
-81.11016273033097,32.083223008307769,30,Savannah, ,-81.110163,32.083223,"81° 6' 36.586"" W","32° 4' 59.603"" N",Savannah,Georgia,Chatham,Cinder Rd,Savannah,31415,Colonial Terminals Inc.,Colonial Terminals Inc., , , ,Storage/tank farm/terminal,"Refined Products, Petrochemical, Miscellaneous", , , , , ,GA-4,
-80.661016115091329,32.359527775707399,31,Port Royal, ,-80.661016,32.359528,"80° 39' 39.658"" W","32° 21' 34.300"" N",Charleston,South Carolina,Beaufort,116 Dolphin Point Dr,Beaufort,29907,Port of Port Royal,Port of Port Royal, , , ,Storage/tank farm/terminal,Refined Products, , , , , ,SC-54,
-79.945884697109577,32.795834496805313,32,Charleston, ,-79.945885,32.795834,"79° 56' 45.185"" W","32° 47' 45.004"" N",Charleston,South Carolina,Charleston,Comming St.,Charleston,29403,Allied Marine Industries,Allied Terminals Inc., , , ,Storage/tank farm/terminal,Refined Products, , , , , ,SC-30,
-79.972432543124143,32.890122357812523,33,North Charleston, ,-79.972433,32.890122,"79° 58' 20.757"" W","32° 53' 24.440"" N",Charleston,South Carolina,Charleston,Virginia Ave,North Charleston,29405,Marathon Ashland Petroleum L.L.C.,Marathon Ashland Petroleum L.L.C., , , ,Storage/tank farm/terminal,Refined Products, , , , , ,SC-24,
-79.972432543124143,32.890122357812523,34,North Charleston, ,-79.972433,32.890122,"79° 58' 20.757"" W","32° 53' 24.440"" N",Charleston,South Carolina,Charleston,Virginia Ave,North Charleston,29405,Koch Refining Corporation,Koch Refining Corporation, , , ,Storage/tank farm/terminal,Refined Products, , , , , ,SC-24,
-79.972432543124143,32.890122357812523,35,North Charleston, ,-79.972433,32.890122,"79° 58' 20.757"" W","32° 53' 24.440"" N",Charleston,South Carolina,Charleston,Virginia Ave,North Charleston,29405,Amerada Hess Corporation,Amerada Hess Corporation, , , ,Storage/tank farm/terminal,Refined Products, , , , , ,SC-24,
-81.051770055753693,32.071670075659,36,T-58-GA-2507,144,-81.051770,32.071670,"81° 3' 6.372"" W","32° 4' 18.012"" N",Savannah,Georgia,Chatham,2 WAHLSTROM RD,Savannah,31404,Kaneb Terminals-STO-Savannah, ,"Oil, petroleum, bulk stations and terminals", , , , , , , , , ,GA-4,
-81.136220061166114,32.116770082888472,37,T-58-GA-2551,1115,-81.136220,32.116770,"81° 8' 10.392"" W","32° 7' 0.372"" N",Savannah,Georgia,Chatham,GEORGIA PORTS GARDEN CITY,Savannah,31418,"Vopak Terminal Savannah, Inc.", ,"Oil, petroleum, bulk stations and terminals", , , , , , , , , ,GA-3,
-81.044470068175514,32.077700017671113,38,T-58-GA-2548,1207,-81.044470,32.077700,"81° 2' 40.092"" W","32° 4' 39.720"" N",Savannah,Georgia,Chatham,1 WOODCOCK RD,Savannah,31404,Kaneb Terminals-STO-Savannah, ,"Oil, petroleum, bulk stations and terminals", , , , , , , , , ,GA-4,
-79.948850071795064,32.824320046141743,39,T-57-SC-2054,135,-79.948850,32.824320,"79° 56' 55.860"" W","32° 49' 27.552"" N",Charleston,South Carolina,Charleston,1500 GREENLEAF ST,Charleston,29405,"Allied Terminals, Inc", ,"Oil, petroleum, bulk stations and terminals", , , , , , , , , ,SC-30,
-79.970409999736688,32.896950094933743,40,T-57-SC-2064,137,-79.970410,32.896950,"79° 58' 13.476"" W","32° 53' 49.020"" N",Charleston,South Carolina,Charleston,5150 VIRGINIA AVE,North Charleston,29406,Amerada Hess - N. Charleston, ,"Oil, petroleum, bulk stations and terminals", , , , , , , , , ,SC-24,
-81.125000041283698,32.110599996071279,41,Citgo Asphalt Refining Company,41,-81.125000,32.110600,"81° 7' 30.000"" W","32° 6' 38.160"" N",Savannah,Georgia,Chatham,Foundation Drive,Savannah,31408, , , , , ,Petroleum Refinery, , , , , , ,GA-4,
-65.840313311448156,18.050397390883532,42,Buckeye Caribbean Terminals LLC.,R-27,-65.840313,18.050397,"65° 50' 25.128"" W","18° 3' 1.431"" N",San Juan,Puerto Rico,Yabucoa, ,Juan Martín, ,Hans Rutzen Office: 787-893-2424, ,"Buckeye Caribbean Terminals LLC. is located in route 901, Yabucoa, PR. This facility receives Petroleum via marine vessel. Petroleum is refined into various petroleum products stored in above ground storage tanks",and distributed via tank trucks and marine vessels., ,154 Facility,"Crude Oil, Bunker, Dewax Oil, DO Mix,                 Gas Oil, Kerosene, Naptha, Hot Oil, Diesel,                 Lube Oil, Fuel Oil",The average most probable discharge is 1 percent (54 Bbl) of the worst case discharge or 50 Bbl which ever is less.,The Maximum most probable discharge is 10 percent (554 Bbl) of the worst case discharge or 1200 Bbl which ever is less., ,"The facility's worst case discharge is 5,443 Bbl.", ,PR-54,
-66.145938780605036,17.94836772118278,43,Chevron Phillips Chemical Puerto Rico Core,R-07,-66.145939,17.948368,"66° 8' 45.380"" W","17° 56' 54.124"" N",San Juan,Puerto Rico,Guayama,"Road 710 Km. 1.3, Las Mareas Ward",Guayama,72057,Ricardo Londono: 787-202-1816, ,"The Chevron Phillips facility is located at Road 710 km. 1.3, Las Mareas Ward
GUAYAMA, PR 72057 
", , ,154 Facility,"Gasoline, Jet Fuel",The average most probable discharge is 1 percent (14 Bbl) of the worst case discharge or 50 Bbl which ever is less.,The Maximum most probable discharge is 10 percent (136 Bbl) of the worst case discharge or 1200 Bbl which ever is less., ,"The facility's worst case discharge is 1,356 Bbl.", ,PR-63,
-66.106572535136493,18.42521707482857,44,TOTAL,R-28,-66.106573,18.425217,"66° 6' 23.661"" W","18° 25' 30.781"" N",San Juan,Puerto Rico,Guaynabo,State Rd 28,Guaynabo,72061,Juan Davila Office: 787-792-2920 Cell:  787-249-1333, ,"Total Petroleum Puerto Rico Corp. is located at State Road #28 K.m. 0.8 Guaynabo, P.R. 72061. The Guaynabo Terminal is a refined product tanker unloading Facility. Refined products are received from vessels and distributed via pipeline to the Facility.","There are a total of 35 aboveground storage tanks. The capacity of the largest tank is 90,000 Bbls.", ,154 Facility,Diesel                Gasoline                    Jet Fuel,The average most probable discharge is 1 percent (61 Bbl) of the worst case discharge or 50 Bbl which ever is less.,The Maximum most probable discharge is 10 percent (610 Bbl) of the worst case discharge or 1200 Bbl which ever is less., ,"The facility's worst case discharge is 6,104 Bbl.", ,PR-12,
